"","MetaID","3317A","3318A","3319A","3320A","3321A","3322A","3325A","3326A"
"1","100.01609_2.553",9.10497985631836,10.3089526606443,9.90348755253613,11.4075649493124,12.2060726455302,13.3046849341983,12.6115377536383,11.0020998412042
"2","100.01609_3.117",11.5129254649702,13.1223633774043,12.2060726455302,15.2018049190842,15.4249484703984,15.6072700271923,14.9141228466324,13.8155105579643
"3","100.01613_4.753",9.90348755253613,12.2060726455302,13.1223633774043,9.90348755253613,10.5966347330961,9.10497985631836,10.3089526606443,9.90348755253613
"4","100.02733_4.274",15.6072700271923,15.4249484703984,14.9141228466324,14.5086577385242,15.2018049190842,15.6072700271923,14.5086577385242,15.2018049190842
"5","100.02738_2.05",13.7101500423064,13.5923670066501,13.3046849341983,13.4588356140255,11.5129254649702,12.8992198260901,11.5129254649702,13.8155105579643
"6","100.02748_5.84",15.6072700271923,13.8155105579643,14.5086577385242,15.4249484703984,15.4249484703984,15.6072700271923,13.8155105579643,15.4249484703984
"7","100.05238_12.561",17.2167079396264,16.1180956509583,15.7614207070196,16.1180956509583,16.8112428315183,18.1975371926382,15.4249484703984,13.5923670066501
"8","100.0525_2.47",11.289781913656,12.8992198260901,13.1223633774043,11.5129254649702,11.5129254649702,11.5129254649702,14.5086577385242,12.6115377536383
"9","100.06376_4.889",15.8949520996441,17.5043900120782,14.5086577385242,17.5043900120782,17.9098551201864,15.4249484703984,15.4249484703984,14.5086577385242
"10","100.06382_3.993",15.2018049190842,15.4249484703984,12.2060726455302,14.5086577385242,14.9141228466324,14.9141228466324,14.5086577385242,14.9141228466324
"11","100.06384_2.954",13.8155105579643,15.4249484703984,15.4249484703984,14.5086577385242,16.1180956509583,13.7101500423064,13.1223633774043,12.2060726455302
"12","100.06384_9.029",12.2060726455302,11.5129254649702,11.5129254649702,9.90348755253613,12.2060726455302,11.0020998412042,11.5129254649702,12.8992198260901
"13","100.07176_3.098",16.8112428315183,17.7275335633924,17.5043900120782,14.9141228466324,16.1180956509583,16.1180956509583,12.6115377536383,11.5129254649702
"14","100.10022_15.661",12.6115377536383,15.6072700271923,15.4249484703984,11.5129254649702,11.4075649493124,11.4075649493124,15.8949520996441,13.1223633774043
"15","101.01131_2.224",15.8949520996441,16.1180956509583,15.4249484703984,14.9141228466324,16.1180956509583,15.8949520996441,12.6115377536383,11.0020998412042
"16","101.0114_4.532",11.5129254649702,11.289781913656,10.5966347330961,9.21034037197618,11.4075649493124,9.21034037197618,12.2060726455302,9.90348755253613
"17","101.01141_5.311",12.2060726455302,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,11.5129254649702,16.8112428315183,16.8112428315183
"18","101.02999_4.607",11.0020998412042,10.3089526606443,9.90348755253613,10.3089526606443,9.21034037197618,10.8197782844103,9.90348755253613,9.10497985631836
"19","101.03001_6.454",10.8197782844103,11.5129254649702,10.8197782844103,10.5966347330961,10.5966347330961,10.5966347330961,10.8197782844103,11.5129254649702
"20","101.04763_5.12",13.7101500423064,15.4249484703984,14.5086577385242,11.0020998412042,13.5923670066501,13.3046849341983,16.8112428315183,15.2018049190842
"21","101.04775_6.781",12.2060726455302,12.2060726455302,12.6115377536383,11.5129254649702,10.8197782844103,11.5129254649702,13.8155105579643,11.0020998412042
"22","101.04778_3.259",11.5129254649702,12.8992198260901,13.3046849341983,11.5129254649702,12.6115377536383,11.5129254649702,13.1223633774043,10.8197782844103
"23","101.04785_12.939",9.21034037197618,10.5966347330961,10.5966347330961,9.90348755253613,9.90348755253613,8.85366542803745,11.0020998412042,9.90348755253613
"24","101.05907_9.591",13.8155105579643,12.2060726455302,12.2060726455302,13.5923670066501,13.8155105579643,13.7101500423064,10.5966347330961,12.6115377536383
"25","101.08418_10.33",12.8992198260901,15.7614207070196,15.4249484703984,12.8992198260901,12.8992198260901,12.8992198260901,12.2060726455302,12.2060726455302
"26","101.0842_2.387",13.7101500423064,14.5086577385242,13.8155105579643,12.6115377536383,13.7101500423064,13.7101500423064,10.3089526606443,10.8197782844103
"27","101.0842_4.078",12.2060726455302,12.2060726455302,12.2060726455302,11.4075649493124,11.0020998412042,10.3089526606443,11.5129254649702,9.90348755253613
"28","101.08421_9.201",13.1223633774043,13.8155105579643,14.5086577385242,13.8155105579643,14.9141228466324,13.8155105579643,14.5086577385242,12.8992198260901
"29","101.09545_17.43",8.29404964010203,15.2018049190842,15.2018049190842,8.00636756765025,7.60090245954208,8.69951474821019,15.2018049190842,8.98719682066197
"30","101.12057_11.119",15.6072700271923,17.9098551201864,17.5043900120782,15.4249484703984,15.7614207070196,14.9141228466324,17.9098551201864,16.1180956509583
